Search keyword report
"October 30, 2025 - October 30, 2025"
Keyword status,Keyword,Match type,Status,Status reasons,Final URL,Clicks,Impr.,CTR,Currency code,Cost,Quality Score,Ad relevance,Ad relevance (hist.),Landing page exp.,Landing page exp. (hist.),Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[computer hulp aan huis],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis,3,5,60.00%,EUR,1.57,8,Above average,Above average,Average,Average,0.00%,0.00,0.52,0.00
Enabled,[computer installeren aan huis],Exact match,Eligible,,,1,8,12.50%,EUR,0.50,8,Above average,Above average,Average,Average,0.00%,0.00,0.50,0.00
Enabled,[studenten hulp bij pc problemen],Exact match,Eligible,,,0,0, --,EUR,0.00,6,Below average,Below average,Average,Average,0.00%,0.00,0,0.00
Enabled,[hulp bij computerproblemen door studenten],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Average,Average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer reparatie in de buurt],Exact match,Eligible,,,1,5,20.00%,EUR,0.58,5,Above average,Above average,Below average,Below average,0.00%,0.00,0.58,0.00
Enabled,[computer hulp voor ouderen],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer reparatie],Exact match,Eligible,,,0,1,0.00%,EUR,0.00,5,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computerhulp aan huis],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis,1,25,4.00%,EUR,0.57,7,Average,Average,Average,Average,0.00%,0.00,0.57,0.00
Enabled,[computerhulp op afstand],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis den haag],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-den-haag,0,3,0.00%,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[pc hulp aan huis],Exact match,Eligible,,,0,1,0.00%,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer service aan huis],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[pc laten repareren],Exact match,Eligible,,,0,7,0.00%,EUR,0.00,7,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[laptop reparatie breda],Exact match,Eligible,,,0,0, --,EUR,0.00,5,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[Computerhulp aan huis senioren],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis,1,21,4.76%,EUR,0.50,5,Below average,Below average,Below average,Below average,0.00%,0.00,0.50,0.00
Enabled,[student aan huis amersfoort],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-amersfoort,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis delft],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[laptop reparatie amsterdam],Exact match,Eligible,,,0,8,0.00%,EUR,0.00,5,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[tv installatie aan huis],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computerhulp],Exact match,Eligible,,,0,10,0.00%,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer hulp],Exact match,Eligible,,,1,3,33.33%,EUR,0.57,8,Above average,Above average,Average,Average,0.00%,0.00,0.57,0.00
Enabled,[computerhulp utrecht],Exact match,Eligible,,,0,1,0.00%,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis amsterdam],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[laptop reparatie leiden],Exact match,Eligible,,,0,10,0.00%,EUR,0.00,7,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[digitale hulp voor ouderen],Exact match,Eligible,,,0,1,0.00%,EUR,0.00,5,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[laptop reparatie],Exact match,Eligible,,,0,3,0.00%,EUR,0.00,3,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[student aan huis leiden],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis tilburg],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[pc repair rotterdam],Exact match,Eligible,,,0,2,0.00%,EUR,0.00, --, --, --, --, --,0.00%,0.00,0,0.00
Enabled,[pc reparatie den haag],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis-den-haag,0,1,0.00%,EUR,0.00,3,Below average,Below average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[laptop reparatie rotterdam],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis-rotterdam,0,1,0.00%,EUR,0.00,3,Below average,Below average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computerhulp amsterdam],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis-amsterdam,0,0, --,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis breda],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-breda,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer reparatie utrecht],Exact match,Limited,low quality,https://hulpmetit.nl/computerhulp-aan-huis-utrecht,0,2,0.00%,EUR,0.00,1,Below average,Below average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computerhulp den haag],Exact match,Eligible,,,0,3,0.00%,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[hulp bij pc problemen],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Below average,Below average,Above average,Above average,0.00%,0.00,0,0.00
Enabled,[computer reparatie amsterdam],Exact match,Eligible,,,0,3,0.00%,EUR,0.00,3,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[student aan huis utrecht],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-utrecht,1,7,14.29%,EUR,0.58,8,Above average,Above average,Average,Average,0.00%,0.00,0.58,0.00
Enabled,[hulp bij computerproblemen],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[monteur aan huis],Exact match,Eligible,,,0,2,0.00%,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computerproblemen oplossen aan huis],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Average,Average,Average,Average,0.00%,0.00,0,0.00
Enabled,[computer reparatie delft],Exact match,Eligible,,,0,0, --,EUR,0.00,5,Above average,Above average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computer reparatie leiden],Exact match,Limited,low quality,https://hulpmetit.nl/computerhulp-aan-huis-leiden,0,0, --,EUR,0.00,1,Below average,Below average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[pc reparatie leiden],Exact match,Eligible,,,0,1,0.00%,EUR,0.00, --, --, --, --, --,0.00%,0.00,0,0.00
Enabled,[laptop reparatie den haag],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis-den-haag,0,1,0.00%,EUR,0.00,4,Average,Average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[student aan huis rotterdam],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-rotterdam,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[senioren hulp computer],Exact match,Eligible,,,0,0, --,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis,9,108,8.33%,EUR,4.77,8,Above average,Above average,Average,Average,0.00%,0.00,0.53,0.00
Enabled,[computer student aan huis],Exact match,Eligible,,,1,2,50.00%,EUR,0.56,7,Average,Average,Average,Average,0.00%,0.00,0.56,0.00
